agglomeration,valeuruni2011,valeurcondos2011,valeuruni2014,valeurcondos2014,tauxuni,tauxcondos
Baie-d'Urfé,532700,200100,650700,236100,22.15130467,17.9910045
Beaconsfield,451200,135800,538300,159600,19.30407801,17.5257732
Côte-Saint-Luc,471800,305900,572300,357300,21.3013989,16.80287676
Dollard-des-Ormeaux,350400,218900,417700,260300,19.206621,18.91274555
Dorval,328900,279000,397300,282400,20.79659471,1.218637993
Hampstead,923600,236600,1094400,268900,18.49285405,13.65173288
L'Île-Dorval,0,0,0,0,0,0
Kirkland,403300,218800,484300,252300,20.08430449,15.31078611
Mont-Royal,785800,400800,1023100,471200,30.1985238,17.56487026
Montréal-Est,195600,0,215600,158800,10.22494888,0
Montréal-Ouest,520500,0,616500,0,18.44380403,0
Pointe-Claire,312800,290600,371500,343400,18.76598465,18.16930489
Senneville,817800,0,906500,0,10.84617266,0
Sainte-Anne-de-Bellevue,323100,198300,378500,220000,17.14639431,10.94301563
Westmount,1232200,787400,1505700,916700,22.19607207,16.42113284
Montréal,351200,261700,430400,308000,22.55125285,17.69201376
Outremont,1029200,381200,1325200,472900,28.7602021,24.05561385
Anjou,319500,205100,379500,241100,18.77934272,17.55241346
Verdun,498000,323100,633700,373500,27.24899598,15.59888579
Saint-Léonard,415900,225800,483100,263800,16.15773022,16.82905226
Saint-Laurent,405900,239600,519500,277200,27.98718896,15.69282137
Montréal-Nord,255200,216600,291800,241500,14.34169279,11.49584488
LaSalle,341500,212400,400100,251000,17.15959004,18.173258
Ville-Marie,713200,336600,908900,395600,27.43970836,17.52822341
Le Sud-Ouest,291000,241300,376000,285100,29.20962199,18.15167841
Le Plateau-Mont-Royal,511100,290300,670300,354400,31.14850323,22.08060627
Mercier-Hochelaga-Maisonneuve,280300,198900,330700,233500,17.98073493,17.39567622
Ahuntsic-Cartierville,391400,207400,488900,245400,24.91057741,18.32208293
Rosemont-La Petite-Patrie,343400,231500,446200,288400,29.93593477,24.57883369
Villeray-Saint-Michel-Parc-Extension,252400,219500,326100,260800,29.19968304,18.81548975
Lachine,302500,210500,374500,239700,23.80165289,13.87173397
Pierrefonds-Roxboro,285000,183300,348200,212900,22.1754386,16.14839062
L'Île-Bizard-Sainte-Geneviève,372700,191200,427500,217900,14.70351489,13.96443515
Rivière-des-Prairies-Pointe-aux-Trembles,268800,157000,309700,178400,15.21577381,13.63057325
Côte-des-Neiges-Notre-Dame-de-Grâce,501400,307400,632500,357700,26.14678899,16.36304489
